確定病名,發病年份,發病月份,縣市,性別,是否為境外移入,年齡層,確定病例數
桿菌性痢疾,2013,1,台北市,F,是,15-19,1
桿菌性痢疾,2013,1,台北市,F,是,30-34,1
桿菌性痢疾,2013,1,桃園縣,M,是,35-39,1
桿菌性痢疾,2013,1,宜蘭縣,M,否,20-24,1
桿菌性痢疾,2013,1,花蓮縣,M,否,15-19,1
桿菌性痢疾,2013,1,花蓮縣,M,否,55-59,1
桿菌性痢疾,2013,1,屏東縣,M,是,5-9,1
桿菌性痢疾,2013,1,基隆市,F,是,30-34,1
桿菌性痢疾,2013,1,新北市,F,是,20-24,2
桿菌性痢疾,2013,1,新北市,F,是,20-24,1
桿菌性痢疾,2013,1,台北市,F,是,25-29,1
桿菌性痢疾,2013,1,台北市,F,是,40-44,1
桿菌性痢疾,2013,1,新竹縣,F,否,5-9,1
桿菌性痢疾,2013,1,台北市,F,是,35-39,1
桿菌性痢疾,2013,1,屏東縣,F,是,35-39,1
桿菌性痢疾,2013,1,桃園縣,F,是,25-29,1
桿菌性痢疾,2013,1,高雄市,F,是,25-29,1
桿菌性痢疾,2013,1,新北市,M,是,5-9,1
桿菌性痢疾,2013,2,新北市,F,是,25-29,1
桿菌性痢疾,2013,2,新北市,F,是,30-34,1
桿菌性痢疾,2013,2,台北市,F,是,20-24,1
桿菌性痢疾,2013,2,宜蘭縣,M,是,35-39,1
桿菌性痢疾,2013,2,雲林縣,M,是,25-29,1
桿菌性痢疾,2013,2,新北市,F,是,40-44,1
桿菌性痢疾,2013,2,新竹市,M,是,20-24,1
桿菌性痢疾,2013,2,台北市,F,是,30-34,1
桿菌性痢疾,2013,2,花蓮縣,F,是,25-29,1
桿菌性痢疾,2013,2,新竹市,M,是,30-34,1
桿菌性痢疾,2013,2,嘉義縣,M,是,20-24,1
桿菌性痢疾,2013,3,台中市,F,否,35-39,1
桿菌性痢疾,2013,3,桃園縣,F,是,20-24,1
桿菌性痢疾,2013,3,新北市,F,是,35-39,2
桿菌性痢疾,2013,3,新竹縣,M,是,20-24,1
桿菌性痢疾,2013,3,基隆市,M,是,20-24,1
桿菌性痢疾,2013,3,新北市,M,是,25-29,1
桿菌性痢疾,2013,3,桃園縣,F,是,25-29,1
桿菌性痢疾,2013,3,桃園縣,M,是,25-29,1
桿菌性痢疾,2013,3,新北市,F,是,35-39,1
桿菌性痢疾,2013,3,宜蘭縣,F,是,35-39,1
桿菌性痢疾,2013,3,新北市,F,是,35-39,1
桿菌性痢疾,2013,4,新北市,M,是,30-34,1
桿菌性痢疾,2013,4,台中市,F,是,25-29,1
桿菌性痢疾,2013,4,台北市,F,是,20-24,1
桿菌性痢疾,2013,4,苗栗縣,F,否,20-24,1
桿菌性痢疾,2013,4,桃園縣,M,否,20-24,1
桿菌性痢疾,2013,4,桃園縣,F,是,25-29,1
桿菌性痢疾,2013,4,台北市,F,是,25-29,1
桿菌性痢疾,2013,4,基隆市,F,是,25-29,1
桿菌性痢疾,2013,4,新北市,F,是,25-29,1
桿菌性痢疾,2013,4,新北市,M,是,20-24,1
桿菌性痢疾,2013,5,台北市,F,是,35-39,1
桿菌性痢疾,2013,5,桃園縣,M,是,35-39,1
桿菌性痢疾,2013,5,新北市,M,否,35-39,1
桿菌性痢疾,2013,5,新竹市,F,是,25-29,1
桿菌性痢疾,2013,5,新北市,M,否,25-29,1
桿菌性痢疾,2013,5,新北市,M,否,25-29,1
桿菌性痢疾,2013,5,新北市,M,是,25-29,1
桿菌性痢疾,2013,5,新北市,F,否,20-24,1
桿菌性痢疾,2013,5,新北市,F,是,20-24,1
