確定病名,建檔年份,建檔月份,縣市,性別,國籍,年齡層,確定病例數
結核病,2013,1,台中市,F,本國籍,35-39,4
結核病,2013,1,台中市,F,本國籍,45-49,1
結核病,2013,1,台中市,F,非本國籍,25-29,2
結核病,2013,1,台中市,M,本國籍,15-19,1
結核病,2013,1,台中市,M,本國籍,50-54,2
結核病,2013,1,台中市,M,本國籍,60-64,5
結核病,2013,1,台中市,M,非本國籍,20-24,2
結核病,2013,1,台中市,M,非本國籍,30-34,1
結核病,2013,1,台北市,F,本國籍,30-34,3
結核病,2013,1,台北市,F,本國籍,40-44,1
結核病,2013,1,台北市,F,本國籍,65-69,3
結核病,2013,1,台北市,M,本國籍,45-49,3
結核病,2013,1,台北市,M,本國籍,55-59,4
結核病,2013,1,台北市,M,非本國籍,60-64,1
結核病,2013,1,台東縣,F,本國籍,30-34,1
結核病,2013,1,台東縣,M,本國籍,45-49,1
結核病,2013,1,台南市,F,本國籍,40-44,1
結核病,2013,1,台南市,F,本國籍,50-54,2
結核病,2013,1,台南市,M,本國籍,20-24,1
結核病,2013,1,台南市,M,本國籍,55-59,4
結核病,2013,1,台南市,M,本國籍,65-69,4
結核病,2013,1,台南市,M,非本國籍,25-29,1
結核病,2013,1,宜蘭縣,F,本國籍,70+,2
結核病,2013,1,宜蘭縣,M,本國籍,50-54,3
結核病,2013,1,花蓮縣,F,本國籍,50-54,1
結核病,2013,1,花蓮縣,F,本國籍,70+,3
結核病,2013,1,花蓮縣,M,本國籍,65-69,1
結核病,2013,1,南投縣,M,本國籍,35-39,1
結核病,2013,1,南投縣,M,本國籍,60-64,3
結核病,2013,1,南投縣,M,本國籍,70+,10
結核病,2013,1,屏東縣,F,本國籍,40-44,1
結核病,2013,1,屏東縣,M,本國籍,20-24,2
結核病,2013,1,屏東縣,M,本國籍,55-59,1
結核病,2013,1,屏東縣,M,本國籍,65-69,4
結核病,2013,1,屏東縣,M,非本國籍,25-29,1
結核病,2013,1,苗栗縣,M,本國籍,30-34,1
結核病,2013,1,苗栗縣,M,本國籍,65-69,1
結核病,2013,1,桃園縣,F,本國籍,15-19,1
結核病,2013,1,桃園縣,F,非本國籍,30-34,1
結核病,2013,1,桃園縣,M,本國籍,20-24,1
結核病,2013,1,桃園縣,M,本國籍,30-34,3
結核病,2013,1,桃園縣,M,本國籍,55-59,4
結核病,2013,1,桃園縣,M,本國籍,65-69,4
結核病,2013,1,高雄市,F,本國籍,20-24,1
結核病,2013,1,高雄市,F,本國籍,30-34,1
結核病,2013,1,高雄市,F,本國籍,40-44,2
結核病,2013,1,高雄市,F,本國籍,65-69,2
結核病,2013,1,高雄市,M,本國籍,35-39,2
結核病,2013,1,高雄市,M,本國籍,45-49,4
結核病,2013,1,基隆市,M,本國籍,35-39,1
結核病,2013,1,基隆市,M,本國籍,70+,4
結核病,2013,1,雲林縣,F,本國籍,15-19,1
結核病,2013,1,雲林縣,F,本國籍,70+,7
結核病,2013,1,雲林縣,F,非本國籍,40-44,1
結核病,2013,1,雲林縣,M,本國籍,20-24,1
結核病,2013,1,雲林縣,M,本國籍,65-69,3
結核病,2013,1,新北市,F,本國籍,30-34,4
結核病,2013,1,新北市,F,本國籍,40-44,4
結核病,2013,1,新北市,M,本國籍,35-39,3
結核病,2013,1,新北市,M,本國籍,45-49,5
結核病,2013,1,新北市,M,本國籍,55-59,13
結核病,2013,1,新竹縣,M,本國籍,45-49,2
結核病,2013,1,嘉義市,F,本國籍,50-54,1
結核病,2013,1,嘉義縣,F,本國籍,70+,4
結核病,2013,1,彰化縣,F,本國籍,65-69,1
結核病,2013,1,彰化縣,M,本國籍,35-39,1
結核病,2013,1,彰化縣,M,本國籍,45-49,4
結核病,2013,1,澎湖縣,M,本國籍,70+,1
結核病,2013,1,台中市,F,本國籍,15-19,1
結核病,2013,1,台中市,F,本國籍,25-29,1
結核病,2013,1,台中市,F,本國籍,60-64,4
結核病,2013,1,台中市,F,本國籍,70+,13
結核病,2013,1,台中市,F,非本國籍,30-34,2
結核病,2013,1,台中市,M,本國籍,30-34,1
結核病,2013,1,台北市,F,本國籍,15-19,1
結核病,2013,1,台北市,F,本國籍,50-54,3
結核病,2013,1,台北市,F,本國籍,60-64,3
結核病,2013,1,台北市,F,非本國籍,20-24,1
結核病,2013,1,台北市,F,非本國籍,30-34,1
結核病,2013,1,台北市,M,本國籍,20-24,2
結核病,2013,1,台北市,M,本國籍,30-34,1
結核病,2013,1,台北市,M,本國籍,65-69,6
結核病,2013,1,台北市,M,非本國籍,0,1
結核病,2013,1,台北市,M,非本國籍,35-39,1
結核病,2013,1,台東縣,M,本國籍,55-59,1
結核病,2013,1,台東縣,M,本國籍,65-69,1
結核病,2013,1,台南市,F,本國籍,20-24,1
結核病,2013,1,台南市,F,本國籍,65-69,1
結核病,2013,1,台南市,F,非本國籍,35-39,1
結核病,2013,1,台南市,M,本國籍,35-39,1
結核病,2013,1,台南市,M,本國籍,45-49,5
結核病,2013,1,宜蘭縣,F,本國籍,45-49,1
結核病,2013,1,宜蘭縣,F,非本國籍,25-29,1
結核病,2013,1,宜蘭縣,M,本國籍,25-29,2
結核病,2013,1,宜蘭縣,M,本國籍,70+,6
結核病,2013,1,花蓮縣,F,本國籍,35-39,1
結核病,2013,1,花蓮縣,M,本國籍,15-19,1
結核病,2013,1,花蓮縣,M,本國籍,50-54,1
結核病,2013,1,花蓮縣,M,本國籍,60-64,1
結核病,2013,1,南投縣,F,本國籍,70+,4
結核病,2013,1,南投縣,M,本國籍,50-54,4
結核病,2013,1,屏東縣,F,本國籍,30-34,2
結核病,2013,1,屏東縣,F,本國籍,65-69,2
結核病,2013,1,屏東縣,M,本國籍,0,1
結核病,2013,1,屏東縣,M,本國籍,35-39,2
結核病,2013,1,屏東縣,M,本國籍,45-49,2
結核病,2013,1,苗栗縣,M,本國籍,45-49,1
