確定病名,發病年份,發病月份,縣市,性別,是否為境外移入,年齡層,確定病例數
流感併發症,2013,1,台北市,F,否,70+,1
流感併發症,2013,1,台北市,M,否,70+,1
流感併發症,2013,1,雲林縣,M,否,40-44,1
流感併發症,2013,1,新北市,F,否,45-49,1
流感併發症,2013,1,新北市,F,否,70+,1
流感併發症,2013,1,新北市,M,否,45-49,2
流感併發症,2013,1,台中市,M,否,10-14,1
流感併發症,2013,1,台北市,F,否,60-64,1
流感併發症,2013,1,台北市,M,否,1,1
流感併發症,2013,1,台北市,M,否,45-49,1
流感併發症,2013,1,台北市,M,否,60-64,1
流感併發症,2013,1,台北市,M,否,70+,1
流感併發症,2013,1,花蓮縣,F,否,65-69,1
流感併發症,2013,1,南投縣,M,否,40-44,1
流感併發症,2013,1,桃園縣,F,否,4,1
流感併發症,2013,1,新北市,F,否,20-24,1
流感併發症,2013,1,新北市,F,否,25-29,1
流感併發症,2013,1,新北市,M,否,30-34,1
流感併發症,2013,1,彰化縣,F,否,25-29,1
流感併發症,2013,1,台北市,F,否,55-59,2
流感併發症,2013,1,台北市,M,否,45-49,1
流感併發症,2013,1,台南市,M,是,30-34,1
流感併發症,2013,1,屏東縣,M,否,45-49,1
流感併發症,2013,1,桃園縣,F,否,70+,1
流感併發症,2013,1,新北市,F,否,40-44,1
流感併發症,2013,1,新北市,F,否,50-54,1
流感併發症,2013,1,彰化縣,M,否,60-64,1
流感併發症,2013,1,台中市,M,否,45-49,1
流感併發症,2013,1,台北市,F,否,70+,1
流感併發症,2013,1,台南市,F,是,15-19,1
流感併發症,2013,1,台南市,F,是,45-49,1
流感併發症,2013,1,高雄市,F,否,55-59,1
流感併發症,2013,1,新北市,F,否,70+,1
流感併發症,2013,1,新北市,F,否,70+,2
流感併發症,2013,1,新北市,M,否,4,1
流感併發症,2013,1,新北市,M,否,55-59,1
流感併發症,2013,2,台北市,F,否,50-54,1
流感併發症,2013,2,台北市,F,否,70+,1
流感併發症,2013,2,台北市,F,否,70+,1
流感併發症,2013,2,台北市,M,否,20-24,1
流感併發症,2013,2,台北市,M,否,65-69,1
流感併發症,2013,2,台北市,M,否,70+,1
流感併發症,2013,2,台東縣,M,否,50-54,1
流感併發症,2013,2,台南市,M,否,55-59,1
流感併發症,2013,2,台南市,M,否,65-69,1
流感併發症,2013,2,南投縣,M,否,5-9,1
流感併發症,2013,2,苗栗縣,M,否,35-39,1
流感併發症,2013,2,桃園縣,M,否,70+,1
流感併發症,2013,2,高雄市,F,否,70+,1
流感併發症,2013,2,雲林縣,M,否,0,1
流感併發症,2013,2,新北市,F,否,15-19,1
流感併發症,2013,2,新北市,F,否,35-39,1
流感併發症,2013,2,新北市,F,否,65-69,1
流感併發症,2013,2,新北市,M,否,60-64,2
流感併發症,2013,2,嘉義縣,M,否,40-44,1
流感併發症,2013,2,彰化縣,F,否,60-64,1
流感併發症,2013,2,彰化縣,M,否,30-34,1
流感併發症,2013,2,彰化縣,M,否,40-44,1
流感併發症,2013,2,台北市,F,否,70+,1
流感併發症,2013,2,台北市,M,否,60-64,1
流感併發症,2013,2,台北市,M,否,70+,1
流感併發症,2013,2,台北市,M,否,70+,1
流感併發症,2013,2,南投縣,M,否,4,1
流感併發症,2013,2,桃園縣,M,否,55-59,1
流感併發症,2013,2,高雄市,M,否,55-59,1
流感併發症,2013,2,新北市,F,否,35-39,1
流感併發症,2013,2,新北市,F,否,40-44,1
流感併發症,2013,2,新北市,F,否,50-54,1
流感併發症,2013,2,新北市,F,否,60-64,1
流感併發症,2013,2,新北市,F,否,65-69,1
流感併發症,2013,2,新北市,F,否,70+,2
流感併發症,2013,2,新北市,M,否,45-49,1
流感併發症,2013,2,新北市,M,否,45-49,1
流感併發症,2013,2,彰化縣,F,否,35-39,1
流感併發症,2013,2,彰化縣,F,否,40-44,1
流感併發症,2013,2,彰化縣,F,否,70+,1
流感併發症,2013,2,台中市,M,否,60-64,1
流感併發症,2013,2,台北市,F,否,4,1
流感併發症,2013,2,台北市,F,否,25-29,1
流感併發症,2013,2,台北市,F,否,30-34,1
流感併發症,2013,2,台北市,M,否,45-49,1
流感併發症,2013,2,台北市,M,否,70+,1
流感併發症,2013,2,台南市,M,否,30-34,1
流感併發症,2013,2,台南市,M,否,60-64,1
流感併發症,2013,2,高雄市,F,否,60-64,1
流感併發症,2013,2,新北市,F,否,25-29,1
流感併發症,2013,2,新北市,M,否,20-24,1
流感併發症,2013,2,新北市,M,否,40-44,1
流感併發症,2013,2,新北市,M,否,65-69,2
流感併發症,2013,2,彰化縣,F,否,25-29,1
流感併發症,2013,2,彰化縣,M,否,30-34,1
流感併發症,2013,2,彰化縣,M,否,55-59,1
流感併發症,2013,2,台北市,F,否,35-39,1
流感併發症,2013,2,台北市,F,否,70+,1
流感併發症,2013,2,花蓮縣,M,否,55-59,1
流感併發症,2013,2,高雄市,M,否,60-64,1
流感併發症,2013,2,雲林縣,M,否,1,1
流感併發症,2013,2,新北市,F,否,3,1
流感併發症,2013,2,新北市,F,否,15-19,1
流感併發症,2013,2,新北市,F,否,25-29,1
流感併發症,2013,2,新北市,F,否,45-49,1
流感併發症,2013,2,新北市,M,否,25-29,1
流感併發症,2013,2,新北市,M,否,45-49,1
流感併發症,2013,2,新北市,M,否,60-64,1
流感併發症,2013,2,新北市,M,否,70+,1
流感併發症,2013,2,嘉義市,M,否,70+,1
流感併發症,2013,2,彰化縣,F,否,35-39,1
流感併發症,2013,3,台東縣,F,否,70+,1
流感併發症,2013,3,台南市,F,否,35-39,1
流感併發症,2013,3,宜蘭縣,M,否,10-14,1
流感併發症,2013,3,宜蘭縣,M,否,25-29,1
流感併發症,2013,3,南投縣,F,否,65-69,1
流感併發症,2013,3,桃園縣,F,否,45-49,1
流感併發症,2013,3,高雄市,F,否,5-9,1
流感併發症,2013,3,高雄市,F,否,70+,1
流感併發症,2013,3,高雄市,M,否,15-19,1
流感併發症,2013,3,高雄市,M,否,45-49,1
流感併發症,2013,3,雲林縣,M,否,60-64,1
流感併發症,2013,3,新北市,F,否,25-29,1
流感併發症,2013,3,新北市,F,否,40-44,1
流感併發症,2013,3,新北市,F,否,65-69,1
流感併發症,2013,3,新北市,F,否,70+,1
流感併發症,2013,3,新北市,F,否,70+,1
流感併發症,2013,3,新北市,F,否,70+,1
流感併發症,2013,3,新北市,M,否,10-14,1
流感併發症,2013,3,新北市,M,否,55-59,1
流感併發症,2013,3,新北市,M,否,60-64,1
流感併發症,2013,3,新竹縣,F,否,10-14,1
流感併發症,2013,3,新竹縣,M,否,70+,1
流感併發症,2013,3,嘉義縣,M,否,25-29,1
流感併發症,2013,3,嘉義縣,M,否,45-49,1
流感併發症,2013,3,彰化縣,M,否,70+,1
流感併發症,2013,3,彰化縣,M,否,70+,1
流感併發症,2013,3,台中市,M,否,50-54,1
流感併發症,2013,3,台中市,M,否,70+,1
流感併發症,2013,3,台北市,F,否,70+,1
流感併發症,2013,3,台北市,M,否,55-59,1
流感併發症,2013,3,台北市,M,否,70+,1
流感併發症,2013,3,台東縣,M,否,70+,1
流感併發症,2013,3,花蓮縣,M,否,70+,1
流感併發症,2013,3,南投縣,M,否,10-14,1
流感併發症,2013,3,南投縣,M,否,65-69,2
流感併發症,2013,3,桃園縣,F,否,30-34,1
流感併發症,2013,3,桃園縣,F,否,60-64,1
流感併發症,2013,3,桃園縣,F,否,70+,1
流感併發症,2013,3,桃園縣,M,否,1,1
流感併發症,2013,3,桃園縣,M,否,45-49,1
流感併發症,2013,3,桃園縣,M,否,60-64,1
流感併發症,2013,3,桃園縣,M,否,65-69,1
流感併發症,2013,3,高雄市,F,否,60-64,1
流感併發症,2013,3,高雄市,F,否,70+,1
